grp,z,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13
a under 400 a under 400 a Passed 1st time,0,3.375,6,2,7,6,18,7,94,1,3,-55,0,1,1
b 400-460 b 400-460 c Failed,0,3,2,2,2,6,23,2,95,1,4,-45,0,1,1
b 400-460 b 400-460 b Passed 2nd time,0,3.75,3,1,3,6,17.5,2,95,1,2,-48,0,1,1
b 400-460 b 400-460 b Passed 2nd time,0,2.5,2,1,3,6,25,7,96,1,2,-52,0,1,1
b 400-460 b 400-460 c Failed,0,2.875,5,3,6,6,22.5,7,94,1,5,-56,0,1,1
b 400-460 b 400-460 c Failed,0,3.125,1,1,2,6,23,7,95,1,1,-56,0,1,1
b 400-460 b 400-460 a Passed 1st time,0,2.75,2,4,3,6,22,7,94,1,4,-57,0,1,1
b 400-460 b 400-460 b Passed 2nd time,0,2.5,6,2,7,6,25,7,95,1,3,-57,0,1,1
b 400-460 b 400-460 a Passed 1st time,0,4.125,9,7,9,6,16,2,94,1,1,-63,0,0,1
b 400-460 b 400-460 a Passed 1st time,0,2.625,8,8,9,6,25.5,7,94,1,4,-59,0,1,1
b 400-460 b 400-460 a Passed 1st time,0,2.75,8,8,9,6,23,7,94,1,5,-59,0,1,1
b 400-460 b 400-460 a Passed 1st time,0,2.875,4,5,5,6,23,7,94,1,4,-59,0,1,1
b 400-460 b 400-460 c Failed,0,3,2,5,2,6,22,7,94,1,3,-60,0,1,1
b 400-460 b 400-460 a Passed 1st time,0,3.5,5,3,6,6,20,7,94,1,3,-60,0,1,1
b 400-460 b 400-460 c Failed,0,2.625,3,3,4,6,24,7,94,1,3,-60,0,1,1
b 400-460 b 400-460 c Failed,0,2.875,3,1,4,6,22.7,7,94,1,5,-61,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,2.5,9,9,10,6,29,7,94,1,3,-39,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,2.5,7,6,7,6,29,7,94,1,3,-40,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,2.75,5,7,5,6,26,7,94,1,2,-49,0,0,1
c 460-520 c 460-520 a Passed 1st time,0,2.875,8,7,8,6,28,7,94,1,2,-49,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,2,9,8,9,6,29.5,2,94,1,3,-57,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,2.75,9,9,9,6,26.7,7,94,1,3,-52,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,3.875,7,6,7,6,22.5,7,94,1,3,-53,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,3.25,6,6,6,6,24,7,94,1,5,-53,0,1,1
c 460-520 c 460-520 c Failed,0,3.25,3,4,4,6,24,7,94,1,4,-54,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,4.125,8,8,8,6,21,7,94,1,1,-54,0,0,1
c 460-520 c 460-520 a Passed 1st time,0,2.5,5,7,6,6,29,2,94,1,3,-60,0,1,1
c 460-520 c 460-520 b Passed 2nd time,0,4,4,2,4,6,20,2,95,1,2,-60,0,1,1
c 460-520 c 460-520 c Failed,0,2.875,2,2,3,6,26.3,2,95,1,4,-60,0,1,1
c 460-520 c 460-520 b Passed 2nd time,0,3.75,4,3,5,6,21,7,95,1,3,-55,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,3.125,10,10,10,6,26,7,94,1,4,-56,0,1,1
c 460-520 c 460-520 c Failed,0,3.125,3,3,4,6,24.5,7,94,1,1,-56,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,3.125,7,4,7,6,25,7,94,1,2,-56,0,0,1
c 460-520 c 460-520 a Passed 1st time,0,4,6,6,7,6,20,7,94,1,4,-57,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,3.25,8,5,9,6,26,7,94,1,4,-58,0,0,1
c 460-520 c 460-520 a Passed 1st time,0,3.125,3,3,4,6,25.5,7,94,1,4,-59,0,1,1
c 460-520 c 460-520 c Failed,0,2.375,5,6,5,6,30.7,2,95,1,4,-64,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,3.125,9,9,9,6,23.5,7,94,1,5,-59,0,1,1
c 460-520 c 460-520 b Passed 2nd time,0,3.25,7,3,8,6,25,2,94,1,2,-64,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,2.75,7,7,8,6,27.7,7,94,1,3,-59,0,1,1
c 460-520 c 460-520 c Failed,0,3.25,1,3,1,6,24,7,94,1,2,-60,0,0,1
c 460-520 c 460-520 b Passed 2nd time,0,3,3,2,4,6,25,7,95,1,4,-60,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,3,5,6,6,6,27,7,94,1,3,-60,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,4.25,9,9,9,6,21,7,94,1,3,-61,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,4.125,10,9,10,6,20,2,94,1,3,-67,0,1,1
c 460-520 c 460-520 a Passed 1st time,0,3.25,2,5,3,6,25,7,94,1,5,-62,0,0,1
c 460-520 c 460-520 a Passed 1st time,0,2.875,7,5,7,6,26,7,94,1,4,-62,0,0,1
d 520-580 d 520-580 a Passed 1st time,0,3.375,9,9,9,6,29,7,94,1,3,-33,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,4.75,8,10,8,6,21,7,94,1,1,-33,0,0,1
d 520-580 d 520-580 c Failed,0,3.625,1,1,2,6,27,7,94,1,3,-36,0,0,1
d 520-580 d 520-580 a Passed 1st time,0,3,6,5,7,6,30,2,94,1,3,-44,0,0,1
d 520-580 d 520-580 c Failed,0,3.5,3,6,4,6,28,7,94,1,3,-41,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,2.75,7,6,8,6,32,7,94,1,4,-43,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,4,7,7,7,6,24,7,94,1,3,-44,0,0,1
d 520-580 d 520-580 c Failed,0,3,1,1,2,6,29.5,7,94,1,4,-45,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,2.75,7,7,8,6,30,7,94,1,4,-49,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.5,10,10,10,6,25.5,2,95,1,3,-54,0,0,1
d 520-580 d 520-580 c Failed,0,4.25,7,7,8,6,24,7,94,1,4,-49,0,0,1
d 520-580 d 520-580 a Passed 1st time,0,3.125,6,5,7,6,28,2,94,1,1,-55,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.375,6,5,7,6,26,2,94,1,1,-55,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,2.875,8,8,8,6,29,2,94,1,4,-57,0,1,1
d 520-580 d 520-580 c Failed,0,3.25,3,1,4,6,27,2,96,2,2,-57,1,0,1
d 520-580 d 520-580 c Failed,0,4.25,5,5,6,6,24,7,94,1,2,-54,0,0,1
d 520-580 d 520-580 a Passed 1st time,0,3.5,5,7,6,6,29,7,94,1,3,-54,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,2.375,2,9,2,6,34.5,7,94,2,3,-54,1,1,1
d 520-580 d 520-580 a Passed 1st time,0,2.375,9,6,9,6,31,7,94,1,3,-55,0,1,1
d 520-580 d 520-580 c Failed,0,3.25,4,9,5,6,29,7,94,1,4,-55,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,2.75,3,2,4,6,30,2,94,1,1,-60,0,0,1
d 520-580 d 520-580 a Passed 1st time,0,3.875,10,10,10,6,26.7,7,94,1,3,-56,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.125,3,5,4,6,30.3,7,94,1,4,-57,0,0,1
d 520-580 d 520-580 c Failed,0,2.625,6,5,6,6,30,7,94,1,2,-57,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3,9,7,9,6,31,7,94,1,3,-57,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.375,7,6,7,6,29,7,94,1,2,-57,0,1,1
d 520-580 d 520-580 c Failed,0,3.625,4,6,5,6,28,7,94,1,3,-58,0,1,1
d 520-580 d 520-580 b Passed 2nd time,0,3.125,1,1,1,6,28,7,96,1,2,-58,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,2.625,1,1,1,6,30,7,94,1,3,-58,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.25,7,8,8,6,27,7,94,1,3,-58,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.75,10,10,10,6,26.7,7,94,1,2,-59,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.125,7,5,8,6,29,7,94,1,3,-59,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.75,2,3,3,6,24,7,94,1,1,-59,0,0,1
d 520-580 d 520-580 a Passed 1st time,0,2.875,8,8,8,6,30,7,94,1,3,-59,0,1,1
d 520-580 d 520-580 b Passed 2nd time,0,4,8,7,8,6,26.3,7,95,1,4,-59,0,0,1
d 520-580 d 520-580 c Failed,0,3.5,4,2,5,6,25.5,7,94,1,3,-59,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.25,10,10,10,6,27,7,94,1,2,-59,0,1,1
d 520-580 d 520-580 c Failed,0,3.25,4,5,5,6,27.7,7,94,1,4,-60,0,1,1
d 520-580 d 520-580 c Failed,0,3.375,1,1,1,6,26,7,94,1,3,-60,0,1,1
d 520-580 d 520-580 b Passed 2nd time,0,3.375,6,2,6,6,29,7,95,1,4,-60,0,0,1
d 520-580 d 520-580 a Passed 1st time,0,4.5,8,8,8,6,23.5,7,94,1,3,-60,0,1,1
d 520-580 d 520-580 b Passed 2nd time,0,3,5,6,5,6,31.5,7,95,1,4,-60,0,1,1
d 520-580 d 520-580 c Failed,0,3.375,4,1,4,6,29,2,95,1,3,-65,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.875,5,3,6,6,27,7,94,1,2,-61,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.5,10,10,10,6,28.5,7,94,1,3,-61,0,0,1
d 520-580 d 520-580 a Passed 1st time,0,3.125,2,2,3,6,29,7,94,1,4,-61,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.5,4,3,5,6,28,7,94,1,4,-61,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.5,10,10,10,6,26.5,7,94,1,4,-61,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.5,9,8,10,6,26,2,95,1,4,-66,0,0,1
d 520-580 d 520-580 c Failed,0,3,1,1,2,6,31,2,95,1,4,-67,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.625,6,8,7,6,27,7,94,1,4,-62,0,1,1
d 520-580 d 520-580 a Passed 1st time,0,3.625,5,3,6,6,28,7,94,1,4,-62,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.75,9,9,9,6,31,7,94,1,4,-27,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.125,7,6,8,6,33,7,94,1,4,-35,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3,5,7,6,6,32,7,94,1,2,-40,0,1,1
e 580-640 e 580-640 c Failed,0,3.75,6,5,7,6,30.5,7,94,1,3,-41,0,1,1
e 580-640 e 580-640 b Passed 2nd time,0,4,3,4,4,6,27,7,95,1,2,-42,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.375,6,3,7,6,33,7,94,1,2,-46,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,4.375,10,9,10,6,28,7,94,1,5,-47,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.375,9,9,9,6,30.5,7,94,1,3,-47,0,0,1
e 580-640 e 580-640 c Failed,0,4.125,1,1,2,6,26.5,7,94,1,1,-49,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,4.125,1,3,1,6,27,2,95,1,3,-55,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,3.25,1,2,2,6,31,2,95,1,1,-56,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,2.875,10,10,10,6,34,7,94,1,4,-51,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,2.875,10,10,10,6,35,7,94,1,4,-52,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,4.375,5,4,5,6,25,7,94,1,2,-53,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,2.875,10,10,10,6,33.5,7,94,1,4,-54,0,1,1
e 580-640 e 580-640 a Passed 1st time,0,4,9,10,9,6,28,2,95,1,4,-59,0,0,1
e 580-640 e 580-640 a Passed 1st time,0,3.375,9,10,9,6,33,7,94,1,4,-56,0,0,1
